,train_step,reward_mean,reward_std
0,0,759166.5448,0.0
1,1,756101.2992,0.0
2,2,751603.88,0.0
3,3,750407.0206,0.0
4,4,758439.429,0.0
5,5,758829.3766,0.0
6,6,759753.3836,0.0
7,7,759674.1776,0.0
8,8,759565.509,0.0
9,9,759281.4032,0.0
10,10,759367.0278,0.0
11,11,757206.5028,0.0
12,12,751603.4022,0.0
13,13,758969.9038,0.0
14,14,759414.3434,0.0
15,15,753544.8208,0.0
16,16,759639.544,0.0
17,17,759586.0746,0.0
18,18,759408.5724,0.0
19,19,758935.1236,0.0
20,20,756765.572,0.0
21,21,759526.885,0.0
22,22,754807.8066,0.0
23,23,759739.5558,0.0
24,24,759995.9358,0.0
25,25,757330.7694,0.0
26,26,759818.5642,0.0
27,27,760266.7046,0.0
28,28,757232.668,0.0
29,29,759945.1,0.0
30,30,759920.4516,0.0
31,31,759776.589,0.0
32,32,759608.1054,0.0
33,33,759401.7194,0.0
34,34,748309.5026,0.0
35,35,758950.3032,0.0
36,36,759770.6518,0.0
37,37,758851.3898,0.0
38,38,759490.3486,0.0
39,39,752456.5664,0.0
40,40,756329.4842,0.0
41,41,759588.6978,0.0
42,42,759657.621,0.0
43,43,759604.8284,0.0
44,44,759254.659,0.0
45,45,759004.4716,0.0
46,46,756700.2698,0.0
47,47,759559.9318,0.0
48,48,758721.978,0.0
49,49,752678.938,0.0
50,50,756882.3994,0.0
51,51,759816.0992,0.0
52,52,753075.6404,0.0
53,53,755125.171,0.0
54,54,758983.4636,0.0
55,55,757365.7166,0.0
56,56,759730.075,0.0
57,57,760061.4388,0.0
58,58,757209.5062,0.0
59,59,757587.2002,0.0
60,60,755489.4772,0.0
61,61,759551.5334,0.0
62,62,758788.5068,0.0
63,63,757082.072,0.0
64,64,751774.636,0.0
65,65,753878.806,0.0
66,66,758623.301,0.0
67,67,751128.1014,0.0
68,68,759907.5156,0.0
69,69,755890.26,0.0
70,70,758566.0234,0.0
71,71,755054.532,0.0
72,72,758820.5494,0.0
73,73,758743.186,0.0
74,74,756745.677,0.0
75,75,759100.3724,0.0
76,76,759262.4472,0.0
77,77,759316.0862,0.0
78,78,759634.3476,0.0
79,79,755156.8426,0.0
80,80,759271.8048,0.0
81,81,758407.1036,0.0
82,82,759885.3054,0.0
83,83,756258.2906,0.0
84,84,754650.0032,0.0
85,85,755852.6668,0.0
86,86,752818.262,0.0
87,87,754027.6076,0.0
88,88,754632.7326,0.0
89,89,752241.9428,0.0
90,90,753909.9612,0.0
91,91,757733.443,0.0
92,92,759485.0368,0.0
93,93,755449.3998,0.0
94,94,757184.3654,0.0
95,95,760071.0194,0.0
96,96,759267.0024,0.0
97,97,759880.9136,0.0
98,98,760342.6144,0.0
99,99,760168.4852,0.0
