,train_step,reward_mean,reward_std
0,0,651814.6358,0.0
1,1,458119.9622,0.0
2,2,454393.394,0.0
3,3,557813.6444,0.0
4,4,420202.5522,0.0
5,5,435803.5466,0.0
6,6,417309.1726,0.0
7,7,440356.319,0.0
8,8,435144.2162,0.0
9,9,431581.4152,0.0
10,10,439904.727,0.0
11,11,400542.8966,0.0
12,12,402503.762,0.0
13,13,508085.3412,0.0
14,14,445257.3052,0.0
15,15,514665.1726,0.0
16,16,400003.6726,0.0
17,17,459703.8942,0.0
18,18,513882.4172,0.0
19,19,573043.8456,0.0
20,20,488817.1582,0.0
21,21,467922.084,0.0
22,22,591547.7386,0.0
23,23,515716.4818,0.0
24,24,407318.0594,0.0
25,25,400452.4196,0.0
26,26,530149.5024,0.0
27,27,489409.0586,0.0
28,28,462934.4574,0.0
29,29,426966.5372,0.0
30,30,478068.6292,0.0
31,31,503577.625,0.0
32,32,558605.9182,0.0
33,33,552478.2858,0.0
34,34,578978.3738,0.0
35,35,416419.4466,0.0
36,36,470073.3504,0.0
37,37,502423.7264,0.0
38,38,571858.1824,0.0
39,39,596947.5672,0.0
40,40,729654.9478,0.0
41,41,743446.1994,0.0
42,42,743278.0396,0.0
43,43,647596.0444,0.0
44,44,731046.71,0.0
45,45,707057.928,0.0
46,46,708144.4898,0.0
47,47,717172.2368,0.0
48,48,719027.0546,0.0
49,49,739908.7628,0.0
50,50,749427.4738,0.0
51,51,731107.1952,0.0
52,52,749653.7884,0.0
53,53,747230.469,0.0
54,54,748375.561,0.0
55,55,747753.4912,0.0
56,56,752519.8452,0.0
57,57,742640.1052,0.0
58,58,742090.005,0.0
59,59,742185.3282,0.0
60,60,737614.9334,0.0
61,61,743859.5426,0.0
62,62,739046.0706,0.0
63,63,749446.4784,0.0
64,64,720541.533,0.0
65,65,750312.8918,0.0
66,66,710547.6336,0.0
67,67,676098.28,0.0
68,68,749943.7432,0.0
69,69,749322.6284,0.0
70,70,738729.8436,0.0
71,71,741924.2312,0.0
72,72,742050.9576,0.0
73,73,747558.2944,0.0
74,74,753240.5236,0.0
75,75,751449.717,0.0
76,76,746329.0242,0.0
77,77,749760.9026,0.0
78,78,747732.322,0.0
79,79,739683.0614,0.0
80,80,719670.443,0.0
81,81,744572.8746,0.0
82,82,740689.3044,0.0
83,83,743565.5752,0.0
84,84,752558.613,0.0
85,85,740521.816,0.0
86,86,751382.6008,0.0
87,87,753410.301,0.0
88,88,740403.2844,0.0
89,89,738485.259,0.0
90,90,744807.3418,0.0
91,91,741220.214,0.0
92,92,749104.046,0.0
93,93,749986.4632,0.0
94,94,743372.3528,0.0
95,95,744509.2346,0.0
96,96,738283.4412,0.0
97,97,750830.6242,0.0
98,98,739637.7854,0.0
99,99,748453.98,0.0
