0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
3584, 0, 14
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
12192, 0, 4
12328, 0, 5
12432, 0, 10
12160, 0, 3
12280, 0, 3
12160, 0, 3
12760, 0, 22
13280, 0, 37
12488, 0, 9
12664, 0, 17
12552, 0, 9
12456, 0, 12
13184, 0, 34
13456, 0, 18
12544, 0, 15
13224, 0, 37
12472, 0, 7
12160, 0, 3
12240, 0, 6
12680, 0, 15
12456, 0, 9
12304, 0, 6
12232, 0, 5
12152, 0, 3
12328, 0, 5
12288, 0, 4
12160, 0, 3
12336, 0, 6
12160, 0, 3
12160, 0, 3
12560, 0, 6
12160, 0, 3
12296, 0, 6
12264, 0, 5
12160, 0, 3
12160, 0, 3
12160, 0, 3
12160, 0, 3
12296, 0, 5
12264, 0, 5
12160, 0, 3
12224, 0, 4
12400, 0, 6
12160, 0, 3
12272, 0, 6
12320, 0, 4
12152, 0, 3
12288, 0, 6
12160, 0, 3
12328, 0, 5
12160, 0, 3
12416, 0, 8
12248, 0, 5
12160, 0, 3
12472, 0, 11
12232, 0, 5
12384, 0, 8
12160, 0, 3
12472, 0, 3
12160, 0, 3
12272, 0, 6
12152, 0, 3
12232, 0, 5
12160, 0, 3
12272, 0, 6
12248, 0, 3
12160, 0, 3
12232, 0, 5
12264, 0, 5
12224, 0, 4
12232, 0, 5
12160, 0, 3
12152, 0, 3
12160, 0, 3
12224, 0, 4
12200, 0, 5
12296, 0, 5
12160, 0, 3
12440, 0, 7
12328, 0, 5
12184, 0, 3
12160, 0, 3
12248, 0, 3
12160, 0, 3
12160, 0, 3
12160, 0, 3
12312, 0, 7
12160, 0, 3
12160, 0, 3
12160, 0, 3
12280, 0, 3
13016, 0, 29
12600, 0, 15
12408, 0, 9
12448, 0, 11
13464, 0, 44
13288, 0, 39
12608, 0, 12
12288, 0, 6
12272, 0, 6
12440, 0, 7
12304, 0, 6
12192, 0, 3
12328, 0, 5
12160, 0, 3
12272, 0, 6
