,train_step,reward_mean,reward_std
0,0,406013.0266,0.0
1,1,404730.0018,0.0
2,2,566300.5424,0.0
3,3,409698.0672,0.0
4,4,416245.0858,0.0
5,5,408376.6312,0.0
6,6,434469.2384,0.0
7,7,464994.3974,0.0
8,8,417190.0232,0.0
9,9,422756.227,0.0
10,10,548012.673,0.0
11,11,457150.123,0.0
12,12,442110.5448,0.0
13,13,421270.3916,0.0
14,14,406554.8114,0.0
15,15,550912.8158,0.0
16,16,718061.4278,0.0
17,17,666704.5926,0.0
18,18,671439.9614,0.0
19,19,559870.7496,0.0
20,20,494020.3334,0.0
21,21,457698.6768,0.0
22,22,492819.9748,0.0
23,23,417140.1018,0.0
24,24,527062.9598,0.0
25,25,540559.8508,0.0
26,26,555744.2404,0.0
27,27,597345.7032,0.0
28,28,664776.4404,0.0
29,29,610986.0258,0.0
30,30,723737.8238,0.0
31,31,723259.0896,0.0
32,32,712849.6066,0.0
33,33,742896.9524,0.0
34,34,736810.6938,0.0
35,35,693386.4056,0.0
36,36,668700.559,0.0
37,37,601766.0658,0.0
38,38,648543.6964,0.0
39,39,744705.3728,0.0
40,40,747807.434,0.0
41,41,745355.3706,0.0
42,42,750739.9812,0.0
43,43,752847.1436,0.0
44,44,752650.2878,0.0
45,45,753543.7528,0.0
46,46,753177.8744,0.0
47,47,753177.8572,0.0
48,48,755168.0156,0.0
49,49,754215.6858,0.0
50,50,749563.1452,0.0
51,51,755659.7974,0.0
52,52,754495.3588,0.0
53,53,756255.0578,0.0
54,54,755817.3682,0.0
55,55,755393.8056,0.0
56,56,756817.0294,0.0
57,57,759270.7314,0.0
58,58,758825.1602,0.0
59,59,759408.837,0.0
60,60,760037.9488,0.0
61,61,760784.304,0.0
62,62,759656.045,0.0
63,63,760463.6968,0.0
64,64,760944.0582,0.0
65,65,761747.3328,0.0
66,66,761396.5082,0.0
67,67,762060.419,0.0
68,68,762943.9812,0.0
69,69,762074.7984,0.0
70,70,763418.6864,0.0
71,71,763943.3296,0.0
72,72,763761.9554,0.0
73,73,764591.5154,0.0
74,74,765171.4452,0.0
75,75,765022.6336,0.0
76,76,764926.7652,0.0
77,77,765044.785,0.0
78,78,764989.7862,0.0
79,79,764664.6596,0.0
80,80,765347.8922,0.0
81,81,765462.162,0.0
82,82,765124.4416,0.0
83,83,765299.4212,0.0
84,84,765517.1406,0.0
85,85,765486.7844,0.0
86,86,765539.955,0.0
87,87,765028.4978,0.0
88,88,765387.8314,0.0
89,89,765936.061,0.0
90,90,765607.1052,0.0
91,91,765797.0936,0.0
92,92,766164.4306,0.0
93,93,766074.1542,0.0
94,94,766213.9132,0.0
95,95,766372.1294,0.0
96,96,766248.8308,0.0
97,97,766218.3222,0.0
98,98,765937.1184,0.0
99,99,766167.389,0.0
