-698,-103,552
125,223,478
870,764,928
806,582,918
816,864,816
918,1158,854
996,1010,1072
928,988,812
868,822,774
698,1072,1240
850,1014,1146
990,1166,1090
866,1080,958
798,884,876
978,744,786
814,812,954
466,898,1108
858,1072,1270
758,1094,954
778,1052,980
1064,1290,1244
1040,1264,1256
1056,1146,1330
1088,1194,1088
744,1190,928
880,1044,1012
476,1106,1122
584,1162,876
752,1162,960
668,1128,748
1028,894,888
1020,570,764
842,1106,516
912,934,966
1014,852,1014
1040,538,806
1124,1032,926
1144,944,854
1120,1118,790
1076,1014,1176
842,814,910
